cc_num,length,span_hours
503848303379,12,47.15638888888889
561942763351,10,45.685
573860193545,11,43.728611111111114
577891228931,12,41.42138888888889
581686439828,10,46.5775
630425673344,2,2.328611111111111
676234256292,10,45.33361111111111
4220345354880,12,47.155833333333334
4247921790666,8,44.84444444444444
4593569795412,19,25.350277777777777
4613314721966,8,46.58305555555555
4642894980163,4,3.5616666666666665
4687263141103,12,46.111111111111114
4788103653396,8,45.45666666666666
4806443445305,13,46.91444444444444
30074693890476,5,15.482777777777779
30328384440870,5,36.04277777777778
30561214688470,9,46.525555555555556
38797410705641,10,40.352222222222224
38817501916673,8,44.5725
180017442990269,9,44.9125
180031190491743,14,46.79055555555556
180036456789979,10,46.50472222222222
180047222886866,9,43.83083333333333
180049032966888,12,47.14472222222222
180064817343047,10,33.81611111111111
213125815021702,11,46.29277777777778
213126662687660,7,25.490833333333335
213186551511454,6,43.33638888888889
213195754007681,8,24.343611111111112
340187018810220,7,45.95361111111111
340951438290556,11,34.28722222222222
340953839692349,12,47.22472222222222
341546199006537,15,46.32666666666667
342035762534413,11,45.679722222222225
344709867813900,14,27.224166666666665
347073228412010,9,44.593333333333334
372246459334925,11,25.536944444444444
373213026644490,11,45.32416666666666
376028110684021,8,24.127777777777776
378262805520186,11,45.520833333333336
2269768987945882,10,46.466388888888886
2288748891690227,12,24.933055555555555
2348245054386329,11,46.58888888888889
2383461948823908,15,47.14138888888889
3511058278399773,9,46.829166666666666
3513618443244549,4,45.63055555555555
3518669219150142,16,44.93611111111111
3520550088202337,19,47.80305555555555
3536918668124647,9,25.3025
3540210836308425,10,47.64861111111111
3541554378551366,12,44.17027777777778
3543591270174051,11,31.07111111111111
3543885983111461,11,45.11944444444445
3544606805704278,14,45.72222222222222
3545578418030657,7,23.10388888888889
3550554389581384,8,24.218888888888888
3560797065840735,11,46.56305555555556
3564839259330465,5,24.546666666666667
3566373869538620,5,25.016944444444444
3575789281659026,11,46.534166666666664
3587960728692500,11,47.602777777777774
3592931352252641,9,47.44138888888889
3595192916105588,12,44.15888888888889
3597980945245815,9,42.51222222222222
4155021259183870,8,46.92777777777778
4157213332670159,8,43.04138888888889
4204237326785494,13,47.916111111111114
4277232699798846,6,25.400833333333335
4377338765909719,7,44.958888888888886
4451952084362894,14,44.367777777777775
4492677353108006,11,46.949444444444445
4586810168620942,10,40.27472222222222
4587577161160601,14,47.22083333333333
4635330563105903,8,24.781388888888888
4642255475285942,12,46.02444444444444
4669558618943766,10,46.280833333333334
4707867759656333,6,44.466388888888886
4734310647841293,7,45.743611111111115
4789911625179723,14,47.566944444444445
4859525594182537,11,45.96611111111111
4878364946692291,4,45.84777777777778
4922710831011201,12,30.83416666666667
4952583804639909,10,30.960277777777776
4979422371139333,11,46.42638888888889
5580563567307107,10,45.789722222222224
6011109736646996,2,25.065
6011305591981276,9,45.284166666666664
6011366578560244,16,46.02055555555555
6011504998544485,7,39.66861111111111
6011603272871604,8,25.243055555555557
6526955903501879,11,45.24777777777778
4209696857872688515,9,21.800833333333333
4210078554961359092,15,45.70861111111111
4257110907449569602,10,44.24166666666667
4488258847705225890,9,33.03527777777778
4497913965512794052,7,27.91138888888889
4599735407877245080,8,47.3275
4666314527820883145,11,46.184444444444445
4714017207228610634,7,47.49666666666667
