cc_num,amt,category,is_fraud,amt_log,is_digital,hour_sin,hour_cos,dow_sin,dow_cos,dt_log,step_dist,speed_log,channel_switch,recv_count_prior,recv_unique_cust_prior,cust_merch_novelty,recv_vol_prior_log,merch_amt_z
60416207185,7.27,misc_net,0,2.1126345090356,1.0,1.2246469e-16,-1.0,0.7818315,0.6234898,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
60416207185,52.94,gas_transport,0,3.987872317711584,0.0,0.8660254,-0.5,0.9749279,-0.22252093,3.0426953,2.0766683,0.09896967,1.0,6.0,6.0,1.0,6.038253,-0.23698604
60416207185,82.08,gas_transport,0,4.419803999007912,0.0,0.8660254,-0.5,0.9749279,-0.22252093,0.04321912,0.9493651,3.1132956,0.0,4.0,4.0,1.0,5.532638,0.29908916
60416207185,34.79,kids_pets,0,3.5776685247779345,0.0,1.2246469e-16,-1.0,0.9749279,-0.22252093,1.5777179,0.83991057,0.19762504,0.0,5.0,5.0,1.0,5.67181,-0.3924837
60416207185,27.18,home,0,3.3386125064705343,0.0,-0.25881904,-0.9659258,0.9749279,-0.22252093,0.43322438,1.2754711,1.2096477,0.0,7.0,7.0,1.0,6.0886364,-0.55852467
60416207185,6.87,shopping_net,0,2.063058062429312,1.0,-0.25881904,-0.9659258,0.43388373,-0.90096885,3.248963,1.3847597,0.054411605,1.0,2.0,2.0,1.0,2.320425,0.4078712
60416207185,8.43,food_dining,0,2.2438960966453663,0.0,-0.9659258,-0.25881904,0.43388373,-0.90096885,1.4214336,0.6791245,0.19562551,1.0,5.0,5.0,1.0,5.623873,-0.8321825
60416207185,117.11,home,0,4.771616393623756,0.0,-0.25881904,-0.9659258,-0.43388373,-0.90096885,3.0870574,0.95984435,0.044875957,0.0,13.0,13.0,1.0,6.869607,0.5754948
60416207185,26.74,personal_care,0,3.3228754148866853,0.0,-0.70710677,0.70710677,-0.43388373,-0.90096885,2.1151505,0.71078116,0.09302548,0.0,8.0,8.0,1.0,6.1641984,-0.5399859
60416207185,105.2,grocery_pos,0,4.665324108807838,0.0,0.0,1.0,-0.9749279,-0.22252093,1.4855111,1.3516953,0.33329135,0.0,8.0,8.0,1.0,6.9405904,-0.1833753
60416207185,4.98,personal_care,0,1.7884205679625405,0.0,-0.70710677,0.70710677,-0.9749279,-0.22252093,3.0849125,0.89288086,0.041901823,0.0,9.0,9.0,1.0,5.6633425,-0.8182432
60416207185,102.47,grocery_pos,0,4.6392817156168595,0.0,0.5,-0.8660254,-0.7818315,0.6234898,2.6288667,1.1084963,0.08269481,0.0,26.0,24.0,1.0,8.005334,-0.109758765
60416207185,204.15,shopping_net,0,5.323741418888195,1.0,1.2246469e-16,-1.0,0.0,1.0,3.3157,0.12755574,0.0047943564,1.0,16.0,16.0,1.0,6.3405356,4.6388936
60416207185,64.31,gas_transport,0,4.179145163914566,0.0,0.8660254,-0.5,0.7818315,0.6234898,3.0016038,1.9427023,0.09677963,1.0,32.0,32.0,1.0,7.615111,0.014711452
60416207185,200.77,kids_pets,0,5.307128434826587,0.0,-0.25881904,0.9659258,0.7818315,0.6234898,2.788076,1.4286498,0.0895515,0.0,28.0,27.0,1.0,7.4034996,2.385565
60416207185,81.48,entertainment,0,4.412555839708705,0.0,-0.25881904,0.9659258,0.7818315,0.6234898,0.06999237,1.2223412,2.8825567,0.0,17.0,17.0,1.0,7.388229,-0.14127533
60416207185,76.33,grocery_pos,0,4.348081978620944,0.0,0.70710677,-0.70710677,0.9749279,-0.22252093,2.3615613,0.3589156,0.03667696,0.0,32.0,32.0,1.0,8.224651,-0.34236556
60416207185,52.47,home,0,3.97912074896064,0.0,-0.8660254,0.5,0.9749279,-0.22252093,2.5191514,0.06403437,0.005592501,0.0,21.0,19.0,1.0,7.201745,-0.17543344
60416207185,1.9,shopping_net,0,1.0647107369924282,1.0,-0.25881904,0.9659258,0.43388373,-0.90096885,3.3298008,0.6380973,0.023415914,1.0,31.0,30.0,1.0,8.145665,-0.9741548
60416207185,7.13,kids_pets,0,2.0955609235597192,0.0,-0.5,0.8660254,-0.43388373,-0.90096885,3.1829953,0.5511714,0.023560988,1.0,25.0,23.0,1.0,7.529825,-0.89227676
